Time Since Start, Front, Front ADC, Back, Back ADC, RPM 
10.265000820159912,-16.355458634319202,10,0.0,25,9127
10.280844688415527,0.0,58,22.75671323040297,90,9127
10.29679799079895,-15.333242469674254,13,-5.25154920701607,10,9117
10.312663078308105,11.58511653264277,92,11.553408255435354,58,8992
10.328847885131836,11.925855254191086,93,-4.201239365612856,13,9147
10.345048904418945,0.0,58,23.106816510870708,91,9137
10.36089301109314,0.0,58,23.456919791338443,92,8997
10.376924991607666,11.925855254191086,93,11.553408255435354,58,9156
10.392931699752808,12.266593975739402,94,11.553408255435354,58,9171
10.408818006515503,0.0,58,24.857332913209397,96,9016
10.424876689910889,0.0,58,24.15712635227392,94,9156
10.440953731536865,-11.244377811094452,25,11.553408255435354,58,9205
10.456979990005493,10.903639089546136,90,11.553408255435354,58,9122
10.472953796386719,-16.355458634319202,10,0.0,25,9117
10.488978862762451,0.0,58,22.056506669467492,88,9142
10.504771709442139,-15.333242469674254,13,-5.25154920701607,10,9044
10.521003007888794,10.903639089546136,90,11.553408255435354,58,9245
10.536872863769531,10.56290036799782,89,-4.201239365612856,13,9166
10.553031921386719,0.0,58,24.50722963274166,95,9049
10.569070816040039,0.0,58,24.857332913209397,96,9142
10.585042953491211,-11.244377811094452,25,11.553408255435354,58,9112
10.601072788238525,-11.244377811094452,25,11.553408255435354,58,9127
10.633179903030396,-11.244377811094452,25,11.553408255435354,58,9151
10.649032831192017,-11.244377811094452,25,11.553408255435354,58,9098
10.665107011795044,-11.244377811094452,25,11.553408255435354,58,9122
10.68097472190857,-11.244377811094452,25,11.553408255435354,58,9200
10.69709587097168,0.0,58,23.106816510870708,91,9122
10.713120937347412,-11.244377811094452,25,11.553408255435354,58,9147
10.728976964950562,-10.903639089546136,26,11.553408255435354,58,9200
10.761148929595947,-11.244377811094452,25,11.553408255435354,58,9069
10.777231931686401,-11.244377811094452,25,11.553408255435354,58,9093
10.809274911880493,-11.244377811094452,25,11.553408255435354,58,9040
10.825243949890137,-11.244377811094452,25,11.553408255435354,58,9117
10.840916872024536,-11.244377811094452,25,11.553408255435354,58,9025
10.856952905654907,-11.244377811094452,25,11.553408255435354,58,9147
10.873301029205322,-11.244377811094452,25,11.553408255435354,58,9171
10.889295816421509,-11.244377811094452,25,11.553408255435354,58,8968
10.905247926712036,-11.244377811094452,25,11.553408255435354,58,9171
10.937068700790405,-11.244377811094452,25,11.553408255435354,58,9161
10.953401803970337,-11.244377811094452,25,11.553408255435354,58,9166
10.985316753387451,-11.244377811094452,25,11.553408255435354,58,9151
11.001343965530396,-11.244377811094452,25,11.553408255435354,58,9142
11.017335891723633,-11.244377811094452,25,11.553408255435354,58,9180
11.033406019210815,-11.244377811094452,25,11.553408255435354,58,9073
11.04940390586853,-11.244377811094452,25,11.553408255435354,58,9200
11.065229892730713,-11.244377811094452,25,11.553408255435354,58,9049
11.081381797790527,-11.244377811094452,25,11.553408255435354,58,9220
11.113415956497192,-11.244377811094452,25,11.553408255435354,58,9044
11.129305839538574,-11.244377811094452,25,11.553408255435354,58,9083
11.145512819290161,-11.244377811094452,25,11.553408255435354,58,9132
11.177220821380615,-11.244377811094452,25,11.553408255435354,58,9166
11.193144798278809,-11.244377811094452,25,11.553408255435354,58,9200
11.20905590057373,-11.244377811094452,25,11.553408255435354,58,9102
11.225177764892578,-11.244377811094452,25,11.553408255435354,58,9195
11.241185665130615,-11.244377811094452,25,11.553408255435354,58,9025
11.25735592842102,-11.244377811094452,25,11.553408255435354,58,9176
11.273268938064575,-11.244377811094452,25,11.553408255435354,58,9059
11.30552077293396,-15.333242469674254,13,-5.25154920701607,10,9180
11.321560859680176,-11.244377811094452,25,11.553408255435354,58,9195
11.353554010391235,-11.244377811094452,25,11.553408255435354,58,9166
11.369574785232544,-11.244377811094452,25,11.553408255435354,58,9205
11.385552883148193,-11.244377811094452,25,11.553408255435354,58,9107
11.401664972305298,-11.244377811094452,25,11.553408255435354,58,9161
11.41762089729309,10.222161646449502,88,11.553408255435354,58,9127
11.433331966400146,-11.244377811094452,25,11.553408255435354,58,9127
11.449635744094849,-11.244377811094452,25,11.553408255435354,58,9161
11.481700897216797,-11.244377811094452,25,11.553408255435354,58,9059
11.497704982757568,-11.244377811094452,25,11.553408255435354,58,9180
11.529682874679565,-10.903639089546136,26,11.553408255435354,58,9190
11.54569387435913,-11.244377811094452,25,11.553408255435354,58,9102
11.561668872833252,-11.244377811094452,25,11.553408255435354,58,9161
11.577708721160889,-11.244377811094452,25,11.553408255435354,58,9151
11.593478918075562,-11.244377811094452,25,11.553408255435354,58,9147
11.60974907875061,-11.244377811094452,25,11.553408255435354,58,9122
11.625767946243286,-11.244377811094452,25,11.553408255435354,58,9176
11.657872915267944,-11.244377811094452,25,11.553408255435354,58,9098
11.673837900161743,-11.244377811094452,25,11.553408255435354,58,9122
11.68979001045227,-11.244377811094452,25,11.553408255435354,58,9107
11.705817937850952,-11.244377811094452,25,11.553408255435354,58,9161
11.721826791763306,-11.244377811094452,25,11.553408255435354,58,9156
11.737667798995972,-11.244377811094452,25,11.553408255435354,58,9137
11.753850936889648,-11.244377811094452,25,11.553408255435354,58,9102
11.769871950149536,-11.244377811094452,25,11.553408255435354,58,9225
11.785869836807251,-11.244377811094452,25,11.553408255435354,58,9035
11.801746845245361,-11.244377811094452,25,11.553408255435354,58,9200
11.833764791488647,-11.244377811094452,25,11.553408255435354,58,9195
11.849781036376953,-11.244377811094452,25,11.553408255435354,58,9078
11.865925788879395,-10.903639089546136,26,11.553408255435354,58,9127
